IN,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,,,,,,,,
9,KEYBOARD USED,Update,Melanie,6/23/2025,3,,,,,,,,
70,Cable HDMI,Update,Melanie,6/23/2025,3,,,,,,,,
11,MONITORS USED,Update,Melanie,6/23/2025,4,,,,,,,,
12,MOUSE USED,Update,Melanie,6/23/2025,3,,,,,,,,
70,Cable HDMI,32184549,Kevin ,6/16/2025,1,,,,,,,,
16,PHONE,32184549,Kevin ,6/16/2025,1,,,,,,,,
9,KEYBOARD USED,32184549,Kevin ,6/16/2025,1,,,,,,,,
11,MONITORS USED,32184549,Kevin ,6/16/2025,1,,,,,,,,
2,DESKTOP-LENOVO,32184549,Kevin ,6/16/2025,1,,,,,,,,
3,DESKTOP-HP,32184549,Kevin ,6/16/2025,1,,,,,,,,
1,WYSE,32184549,Kevin ,6/16/2025,1,,,,,,,,
11,MONITORS USED,32169116,Kevin ,6/13/2025,1,,,,,,,,
20,LAPTOPS NEW,Update,Melanie,6/12/2025,2,,,,,,,,
9,KEYBOARD USED,32149654,Stiven ,6/10/2025,1,,,,,,,,
31,DISPLAYPORT ADAPTER,Update ,Melanie ,6/2/2025,30,,,,,,,,
7,KEYBOARD NEW,Update ,Melanie ,6/2/2025,2,,,,,,,,
14,MOUSE NEW,Update ,Melanie ,6/2/2025,2,,,,,,,,
3,DESKTOP-HP,Update ,Melanie ,6/2/2025,2,,,,,,,,
60,Cable de red 2m ,32049658,Kevin ,5/28/2025,1,,,,,,,,
62,Cable de red  5m ,32049658,Kevin ,5/28/2025,1,,,,,,,,
12,MOUSE USED,32049658,Kevin ,5/28/2025,2,,,,,,,,
1,WYSE,32049658,Kevin ,5/28/2025,1,,,,,,,,
16,PHONE,32049658,Kevin ,5/28/2025,1,,,,,,,,
11,MONITORS USED,32049658,Kevin ,5/28/2025,1,,,,,,,,
20,LAPTOPS NEW,Update ,Melanie ,5/27/2025,2,,,,,,,,
