EQUIPMENT,,,,,,,OUT,,,,,,,IN,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,BRAND,IN,OUT,AVAILABLE,,PRODUCT CODE,EQUIPMENT DESCRIPTION,Ticket ,TECH,DATE,QUANTITY,,PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,
1,WYSE,,101,81,20,,9,KEYBOARD USED,32232918,Jose D ,6/24/2025,1,,9,KEYBOARD USED,Update,Melanie,6/23/2025,3,
2,DESKTOP-LENOVO,,28,17,11,,85,Keyboard pad ,no ticket ,Stiven,6/24/2025,1,,70,Cable HDMI,Update,Melanie,6/23/2025,3,
3,DESKTOP-HP,,16,11,5,,6,HEADSET-VARIOS 3.5,32224078,Kevin ,6/23/2025,1,,11,MONITORS USED,Update,Melanie,6/23/2025,4,
4,HANDPUNCH,,3,0,3,,6,HEADSET-VARIOS 3.5,Forum ,Kevin ,6/23/2025,2,,12,MOUSE USED,Update,Melanie,6/23/2025,3,
5,HEADSET-PLANTRONICS,,113,87,26,,6,HEADSET-VARIOS 3.5,No ticket (Karla),Melanie ,6/23/2025,1,,70,Cable HDMI,32184549,Kevin ,6/16/2025,1,
6,HEADSET-VARIOS 3.5,,63,60,3,,2,DESKTOP-LENOVO,No ticket (Karla & Will),Stiven,6/23/2025,2,,16,PHONE,32184549,Kevin ,6/16/2025,1,
7,KEYBOARD NEW,,65,59,6,,11,MONITORS USED,32218875,Kevin ,6/22/2025,1,,9,KEYBOARD USED,32184549,Kevin ,6/16/2025,1,
8,KEYBOARD COMBO,,44,44,0,,86,Adaptador de red RJ45 a USB,Torre 2,Andres A,6/21/2025,2,,11,MONITORS USED,32184549,Kevin ,6/16/2025,1,
9,KEYBOARD USED,,51,42,9,,22,EARPADS,Torre 2,Andres A,6/21/2025,25,,2,DESKTOP-LENOVO,32184549,Kevin ,6/16/2025,1,
10,MONITORS NEW,,92,86,6,,1,WYSE,Torre 2,Andres A,6/21/2025,4,,3,DESKTOP-HP,32184549,Kevin ,6/16/2025,1,
11,MONITORS USED,,61,46,15,,87,Adaptador de red RJ45 a C ,Torre 2,Andres A,6/21/2025,1,,1,WYSE,32184549,Kevin ,6/16/2025,1,
12,MOUSE USED,,49,35,14,,34,WRISTPAD,Torre 2,Andres A,6/21/2025,2,,11,MONITORS USED,32169116,Kevin ,6/13/2025,1,
13,SECURITY WEBCAM,,2,2,0,,29,DUAL HDMI ADAPTER,Torre 2,Andres A,6/21/2025,2,,20,LAPTOPS NEW,Update,Melanie,6/12/2025,2,
79,Mouse Wireless ,,21,4,17,,31,DISPLAYPORT ADAPTER,Torre 2,Andres A,6/21/2025,4,,9,KEYBOARD USED,32149654,Stiven ,6/10/2025,1,
14,MOUSE NEW,,101,73,28,,18,SPEAKERS,Torre 2,Andres A,6/21/2025,2,,31,DISPLAYPORT ADAPTER,Update ,Melanie ,6/2/2025,30,
15,LAPTOPS USED,,14,13,1,,21,MOUSE PAD,Torre 2,Andres A,6/21/2025,4,,7,KEYBOARD NEW,Update ,Melanie ,6/2/2025,2,
16,PHONE,,91,70,21,,7,KEYBOARD NEW,Torre 2,Andres A,6/21/2025,4,,14,MOUSE NEW,Update ,Melanie ,6/2/2025,2,
17,TABLETS,,3,2,1,,10,MONITORS NEW,Torre 2,Andres A,6/21/2025,2,,3,DESKTOP-HP,Update ,Melanie ,6/2/2025,2,
18,SPEAKERS,,19,11,8,,31,DISPLAYPORT ADAPTER,32207466,Pablo ,6/20/2025,1,,60,Cable de red 2m ,32049658,Kevin ,5/28/2025,1,
19,POWER STRIP,,14,5,9,,59,Cable de red 1m ,No ticket,Jose D ,6/19/2025,3,,62,Cable de red  5m ,32049658,Kevin ,5/28/2025,1,
20,LAPTOPS NEW,,21,18,3,,1,WYSE,No ticket,Jose D ,6/19/2025,1,,12,MOUSE USED,32049658,Kevin ,5/28/2025,2,
21,MOUSE PAD,,58,39,19,,31,DISPLAYPORT ADAPTER,No ticket,Jose D ,6/19/2025,2,,1,WYSE,32049658,Kevin ,5/28/2025,1,
22,EARPADS,,90,44,46,,26,UPS USED,32202547,Pablo,6/19/2025,1,,16,PHONE,32049658,Kevin ,5/28/2025,1,
23,HUB USB WITH RJ45 PORT,,47,25,22,,16,PHONE,32184549,Kevin ,6/16/2025,1,,11,MONITORS USED,32049658,Kevin ,5/28/2025,1,
